malli,tyyppi,skenaario,vuosi,kapasiteetti_tai_asiakkaat,liikevaihto_euroa,myyntikate_euroa,kayttokate_euroa,investointi_euroa,rahoituksen_vuosimaksu_euroa,kassavirta_rahoituksen_jalkeen_euroa,kumulatiivinen_kassa_euroa
Pieni alueellinen tokenoperaattori,token,Heikko,1,32,198677,23276,-407974,1206000,206131,-975305,-975305
Pieni alueellinen tokenoperaattori,token,Heikko,2,48,422784,142989,-466611,510400,305761,-874453,-1849758
Pieni alueellinen tokenoperaattori,token,Heikko,3,72,762919,339803,-576197,739200,450053,-1174090,-3023847
Pieni alueellinen tokenoperaattori,token,Heikko,4,96,1107292,549945,-691855,712800,589192,-1423606,-4447454
Pieni alueellinen tokenoperaattori,token,Heikko,5,128,1525838,800271,-808229,915200,767839,-1759108,-6206562
Pieni alueellinen tokenoperaattori,token,Perus,1,32,441504,259157,-145843,1110000,187392,-675235,-675235
Pieni alueellinen tokenoperaattori,token,Perus,2,48,847688,552297,-19703,464000,277965,-390468,-1065703
Pieni alueellinen tokenoperaattori,token,Perus,3,72,1463270,1014544,154544,672000,409139,-388995,-1454698
Pieni alueellinen tokenoperaattori,token,Perus,4,96,2077171,1486786,320786,648000,535629,-344442,-1799140
Pieni alueellinen tokenoperaattori,token,Perus,5,128,2825626,2060346,550346,832000,698035,-314089,-2113230
Pieni alueellinen tokenoperaattori,token,Vahva,1,32,711925,518039,80639,1062000,178022,-429783,-429783
Pieni alueellinen tokenoperaattori,token,Vahva,2,48,1298022,982165,364405,440800,264067,12178,-417605
Pieni alueellinen tokenoperaattori,token,Vahva,3,72,2185445,1705772,776972,638400,388682,260610,-156995
Pieni alueellinen tokenoperaattori,token,Vahva,4,96,3061830,2432607,1173327,615600,508847,541359,384365
Pieni alueellinen tokenoperaattori,token,Vahva,5,128,4132477,3320484,1689684,790400,663133,868470,1252835
Valtakunnallinen tokenoperaattori,token,Heikko,1,256,1681247,497058,-2439942,9884800,1539113,-7556015,-7556015
Valtakunnallinen tokenoperaattori,token,Heikko,2,512,4068901,1690934,-3096266,7603200,3023258,-7640164,-15196179
Valtakunnallinen tokenoperaattori,token,Heikko,3,896,7713958,3619735,-3510665,10982400,5167022,-10874167,-26070346
Valtakunnallinen tokenoperaattori,token,Heikko,4,1408,12844588,6549111,-3476289,14080000,7915438,-14207727,-40278073
Valtakunnallinen tokenoperaattori,token,Heikko,5,2048,18920389,10029877,-3658123,16896000,11213537,-18250860,-58528933
Valtakunnallinen tokenoperaattori,token,Perus,1,256,3431117,2218243,-521757,9168000,1399194,-5354551,-5354551
Valtakunnallinen tokenoperaattori,token,Perus,2,512,7893811,5439571,975571,6912000,2748416,-3155245,-8509796
Valtakunnallinen tokenoperaattori,token,Perus,3,896,14599066,10371782,3723782,9984000,4697293,-2970311,-11480107
Valtakunnallinen tokenoperaattori,token,Perus,4,1408,23903447,17405457,8057457,12800000,7195853,-1698396,-13178503
Valtakunnallinen tokenoperaattori,token,Perus,5,2048,34876293,25716722,12956722,15360000,10194125,-309403,-13487905
Valtakunnallinen tokenoperaattori,token,Vahva,1,256,5303935,4036485,1077285,8809600,1329234,-3613869,-3613869
Valtakunnallinen tokenoperaattori,token,Vahva,2,512,11867628,9296140,4475020,6566400,2610995,550745,-3063124
Valtakunnallinen tokenoperaattori,token,Vahva,3,896,21633696,17211733,10031893,9484800,4462428,3672505,609382
